Number of eigenvalues,Mean absolute error
10.0,0.8730041230562722
20.0,0.954346804612248
30.0,1.0679951191331187
40.0,1.0824861523881988
50.0,1.1529088898295905
60.0,1.2136945394978351
70.0,1.262668855234979
80.0,1.2353559838161086
90.0,1.3634239816170262
100.0,1.3459079094505113
