Noise,Mean absolute error
5000.0,1.582738390309649
10000.0,1.5230621840290728
15000.0,1.493333346602226
20000.0,1.4815069522325688
25000.0,1.4051000649892356
30000.0,1.361209594711541
35000.0,1.362155215944469
40000.0,1.3253382670764255
45000.0,1.3177759978642167
50000.0,1.2977180520515084
55000.0,1.2829705405934744
60000.0,1.265188105783234
65000.0,1.2541266899842232
70000.0,1.2519256669094656
75000.0,1.2452999474356465
80000.0,1.2502108348021521
85000.0,1.2664069163063698
90000.0,1.2540774239067052
95000.0,1.2506453433122187
100000.0,1.2408766890204368
